FlightCode,PF,Pax,Fuel,DeIce,Route,ToDay,minU1,minU2,minU3,minU4,minXC,ArrRwy,DepRwy,LdgDay,LiftSW,P1Code,P2Code,P3Code,P4Code,Report,TagOps,ToEdit,minAIR,minCOP,minIFR,minIMT,minPIC,minREL,minSFR,ArrCode,DateUTC,DepCode,HobbsIn,Holding,Pairing,Remarks,SignBox,ToNight,UserNum,minDUAL,minEXAM,CrewList,DateBASE,FuelUsed,HobbsOut,LdgNight,NextPage,TagDelay,Training,UserBool,UserText,minINSTR,minNIGHT,minPICUS,minTOTAL,ArrOffset,DateLOCAL,DepOffset,TagLaunch,TagLesson,ToTimeUTC,ArrTimeUTC,BaseOffset,DepTimeUTC,LdgTimeUTC,FuelPlanned,NextSummary,TagApproach,AircraftCode,ArrTimeSCHED,DepTimeSCHED,FlightNumber,FlightSearch,Record_Modified
00000000-0000-0000-0000-000001600095,True,0,0,False,,1,0,0,0,0,0,,,1,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600062,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,116,0,116,0,0,00000000-0000-0000-0000-000000017892,2016-06-20,00000000-0000-0000-0000-000000017898,0,0,,,0,0,0,0,0,,2016-06-20,0,0,0,False,,,False,,0,0,0,116,180,2016-06-20,180,,,0,1256,120,1140,0,0,False,,00000000-0000-0000-0000-000001600034,0,0,TK2636,20160620:2636ISLMLX,1616320991
00000000-0000-0000-0000-000001600096,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600062,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,99,0,99,0,0,00000000-0000-0000-0000-000000017898,2016-06-20,00000000-0000-0000-0000-000000017892,0,0,,,0,0,0,0,0,,2016-06-20,0,0,0,False,,,False,,0,0,0,99,180,2016-06-21,180,,,0,1418,120,1319,0,0,False,,00000000-0000-0000-0000-000001600034,0,0,TK2637,20160620:2637MLXISL,1616320991
00000000-0000-0000-0000-000001600097,True,0,0,False,,0,0,0,0,0,198,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600063,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,198,0,198,0,0,00000000-0000-0000-0000-000000008593,2016-06-22,00000000-0000-0000-0000-000000017898,0,0,,,0,1,0,0,0,,2016-06-22,0,0,1,False,,,False,,0,198,0,198,60,2016-06-22,180,,,0,1327,120,1129,0,0,False,,00000000-0000-0000-0000-000001000022,0,0,TK655,20160622:655ISLALG,1616320991
00000000-0000-0000-0000-000001600098,False,0,0,False,,0,0,0,0,0,194,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600063,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,194,0,194,0,0,00000000-0000-0000-0000-000000017898,2016-06-22,00000000-0000-0000-0000-000000008593,0,0,,,0,0,0,0,0,,2016-06-23,0,0,0,False,,,False,,0,187,0,194,180,2016-06-23,60,,,0,164,120,1410,0,0,False,,00000000-0000-0000-0000-000001000022,0,0,TK656,20160622:656ALGISL,1616320991
00000000-0000-0000-0000-000001600099,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600064,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,90,0,90,0,0,00000000-0000-0000-0000-000000017967,2016-06-24,00000000-0000-0000-0000-000000017898,0,0,,,0,0,0,0,0,,2016-06-24,0,0,0,False,,,False,,0,0,0,90,120,2016-06-24,180,,,0,414,120,324,0,0,False,,00000000-0000-0000-0000-000001600002,0,0,TK1003,20160624:1003ISLSKP,1616320991
00000000-0000-0000-0000-000001600100,True,0,0,False,,1,0,0,0,0,0,,,1,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600064,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,86,0,86,0,0,00000000-0000-0000-0000-000000017898,2016-06-24,00000000-0000-0000-0000-000000017967,0,0,,,0,0,0,0,0,,2016-06-24,0,0,0,False,,,False,,0,0,0,86,180,2016-06-24,120,,,0,540,120,454,0,0,False,,00000000-0000-0000-0000-000001600002,0,0,TK1004,20160624:1004SKPISL,1616320991
00000000-0000-0000-0000-000001600101,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600065,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,280,0,280,0,0,00000000-0000-0000-0000-000000027223,2016-06-26,00000000-0000-0000-0000-000000017898,0,0,,,0,0,0,0,0,,2016-06-26,0,0,0,False,,,False,,0,0,0,280,300,2016-06-26,180,,,0,1347,120,1067,0,0,False,,00000000-0000-0000-0000-000001600035,0,0,TK254,20160626:254ISLDYU,1616320991
00000000-0000-0000-0000-000001600102,True,0,0,False,,1,0,0,0,0,0,,,1,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600065,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,317,0,317,0,0,00000000-0000-0000-0000-000000017898,2016-06-30,00000000-0000-0000-0000-000000027223,0,0,,,0,0,0,0,0,,2016-06-30,0,0,0,False,,,False,,0,0,0,317,180,2016-06-30,300,,,0,342,120,25,0,0,False,,00000000-0000-0000-0000-000001000038,0,0,TK255,20160630:255DYUISL,1616320991
00000000-0000-0000-0000-000001600103,True,0,0,False,,1,0,0,0,0,0,,,1,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600066,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,209,0,209,0,0,00000000-0000-0000-0000-000000009681,2016-07-02,00000000-0000-0000-0000-000000017898,0,0,,,0,0,0,0,0,,2016-07-02,0,0,0,False,,,False,,0,0,0,209,120,2016-07-02,180,,,0,1204,120,995,0,0,False,,00000000-0000-0000-0000-000001600011,0,0,TK1955,20160702:1955ISLAMS,1616320991
00000000-0000-0000-0000-000001600104,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600066,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,193,0,193,0,0,00000000-0000-0000-0000-000000017898,2016-07-02,00000000-0000-0000-0000-000000009681,0,0,,,0,0,0,0,0,,2016-07-02,0,0,0,False,,,False,,0,0,0,193,180,2016-07-02,120,,,0,25,120,1272,0,0,False,,00000000-0000-0000-0000-000001600011,0,0,TK1956,20160702:1956AMSISL,1616320991
